,closed_at,created_at,labels,id,number,state,title,url,last_mod,comments,turn_round
0,,2021-10-02 03:07:27,[],1013898660,340,open,Fix QoS depth settings for clients/service ignored,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/340,,4,
1,,2021-09-28 07:50:38,[],1009407155,339,open,User setting for Qos depth is ignored while using Clinet/Service,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/339,,2,
2,,2021-09-22 16:38:28,[],1004502420,338,open,Galactic CycloneDDS crash,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/338,,3,
3,,2021-09-08 18:24:32,[],991410756,337,closed,Update rmw_context_impl_t definition,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/337,,1,523333.0
4,,2021-09-08 15:34:24,[],991271672,336,closed,Fix use of deprecated is_loan_available,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/336,,1,92627.0
5,,2021-09-03 14:37:56,[],987835651,335,closed,Add quality declaration for rmw_cyclonedds_cpp,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/335,,1,859996.0
6,,2021-08-30 16:06:19,[],982955041,334,closed,rmw_cyclonedds_cpp/CMakeLists.txt: add -latomic for RISC-V (backport #332),https://api.github.com/repos/ros2/rmw_cyclonedds/issues/334,,0,3169.0
7,,2021-08-30 16:06:12,[],982954918,333,closed,rmw_cyclonedds_cpp/CMakeLists.txt: add -latomic for RISC-V (backport #332),https://api.github.com/repos/ros2/rmw_cyclonedds/issues/333,,0,3159.0
8,,2021-08-26 12:26:30,[],980186838,332,closed,rmw_cyclonedds_cpp/CMakeLists.txt: add -latomic for RISC-V,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/332,,10,358564.0
9,,2021-08-14 14:58:16,"[Label(name=""help wanted"")]",970928441,331,closed,Missing quality declaration for rmw_cyclonedds_cpp,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/331,,4,2586776.0
10,,2021-08-06 22:15:19,[],963077166,330,closed,Windows 10 - build issue with unresolved external symbol in serdata.hpp,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/330,,2,81207.0
11,,2021-08-02 23:26:19,[],958583084,329,closed,"Add pub/sub init, publish and take instrumentation using tracetools",https://api.github.com/repos/ros2/rmw_cyclonedds/issues/329,,5,850949.0
12,,2021-07-29 15:43:31,[],955973596,328,open,Poor Image Transport Performace,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/328,,2,
13,,2021-07-29 12:34:33,"[Label(name=""enhancement"")]",955796949,327,closed,add -latomic in CMakelist.txt,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/327,,7,4245493.0
14,,2021-07-27 16:25:43,[],954054969,326,closed,CycloneDDS broke infrastructure for rolling-testing,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/326,,1,1369989.0
15,,2021-07-06 18:43:03,[],938163260,325,closed,Pass the CRL down to CycloneDDS if it exists.,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/325,,1,153171.0
16,,2021-06-28 23:22:35,[],932069731,324,closed,Add publishing instrumentation using tracetools,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/324,,5,1988833.0
17,,2021-06-24 18:52:19,[],929518121,323,closed,Use the new rmw_dds_common::get_security_files API.,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/323,,1,325225.0
